graph_type,size,probabilities,objective_value,time_ms,iterations,branch_and_bound_nodes
gnp_random_graph,100,0.5,6.0,19016,0,0
gnp_random_graph,100,0.8,4.0,882,0,0
gnp_random_graph,10,0.5,3.0,31,0,0
gnp_random_graph,10,0.8,2.0,18,0,0
gnp_random_graph,20,0.5,4.0,39,0,0
gnp_random_graph,20,0.8,3.0,46,0,0
gnp_random_graph,40,0.5,6.0,195,0,0
gnp_random_graph,40,0.8,4.0,111,0,0
gnp_random_graph,80,0.5,6.0,7222,0,0
gnp_random_graph,80,0.8,4.0,399,0,0
gnp_random_graph,100,0.5,6.0,29303,0,0
gnp_random_graph,100,0.8,4.0,721,0,0
gnp_random_graph,10,0.5,3.0,24,0,0
gnp_random_graph,10,0.8,2.0,20,0,0
gnp_random_graph,20,0.5,4.0,29,0,0
gnp_random_graph,20,0.8,2.0,49,0,0
gnp_random_graph,40,0.5,6.0,332,0,0
gnp_random_graph,40,0.8,4.0,126,0,0
gnp_random_graph,80,0.5,6.0,6024,0,0
gnp_random_graph,80,0.8,4.0,438,0,0
gnp_random_graph,100,0.5,6.0,34734,0,0
gnp_random_graph,100,0.8,4.0,871,0,0
gnp_random_graph,10,0.5,4.0,36,0,0
gnp_random_graph,10,0.8,3.0,22,0,0
gnp_random_graph,20,0.5,4.0,32,0,0
gnp_random_graph,20,0.8,3.0,55,0,0
gnp_random_graph,40,0.5,5.0,168,0,0
gnp_random_graph,40,0.8,4.0,148,0,0
gnp_random_graph,80,0.5,6.0,8669,0,0
gnp_random_graph,80,0.8,4.0,497,0,0
gnp_random_graph,100,0.5,7.0,40461,0,0
gnp_random_graph,100,0.8,4.0,679,0,0
gnp_random_graph,10,0.5,4.0,20,0,0
gnp_random_graph,10,0.8,2.0,20,0,0
gnp_random_graph,20,0.5,5.0,45,0,0
gnp_random_graph,20,0.8,2.0,50,0,0
gnp_random_graph,40,0.5,6.0,623,0,0
gnp_random_graph,40,0.8,4.0,136,0,0
gnp_random_graph,80,0.5,6.0,2808,0,0
gnp_random_graph,80,0.8,4.0,454,0,0
gnp_random_graph,100,0.5,6.0,37865,0,0
gnp_random_graph,100,0.8,4.0,847,0,0
gnp_random_graph,10,0.5,4.0,23,0,0
gnp_random_graph,10,0.8,2.0,13,0,0
gnp_random_graph,20,0.5,4.0,44,0,0
gnp_random_graph,20,0.8,3.0,42,0,0
gnp_random_graph,40,0.5,5.0,180,0,0
gnp_random_graph,40,0.8,4.0,134,0,0
gnp_random_graph,80,0.5,7.0,15620,0,0
gnp_random_graph,80,0.8,4.0,472,0,0
gnp_random_graph,100,0.5,7.0,33380,0,0
gnp_random_graph,100,0.8,4.0,794,0,0
gnp_random_graph,10,0.5,4.0,23,0,0
gnp_random_graph,10,0.8,3.0,24,0,0
gnp_random_graph,20,0.5,4.0,32,0,0
gnp_random_graph,20,0.8,3.0,48,0,0
gnp_random_graph,40,0.5,5.0,137,0,0
gnp_random_graph,40,0.8,4.0,155,0,0
gnp_random_graph,80,0.5,6.0,1316,0,0
gnp_random_graph,80,0.8,4.0,390,0,0
gnp_random_graph,100,0.5,7.0,35420,0,0
gnp_random_graph,100,0.8,4.0,660,0,0
gnp_random_graph,10,0.5,5.0,19,0,0
gnp_random_graph,10,0.8,3.0,24,0,0
gnp_random_graph,20,0.5,4.0,44,0,0
gnp_random_graph,20,0.8,3.0,53,0,0
gnp_random_graph,40,0.5,6.0,293,0,0
gnp_random_graph,40,0.8,4.0,120,0,0
gnp_random_graph,80,0.5,6.0,4010,0,0
gnp_random_graph,80,0.8,4.0,548,0,0
gnp_random_graph,100,0.5,7.0,115912,0,0
gnp_random_graph,100,0.8,4.0,792,0,0
gnp_random_graph,10,0.5,3.0,19,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,5.0,40,0,0
gnp_random_graph,20,0.8,3.0,41,0,0
gnp_random_graph,40,0.5,6.0,326,0,0
gnp_random_graph,40,0.8,4.0,141,0,0
gnp_random_graph,80,0.5,6.0,8825,0,0
gnp_random_graph,80,0.8,4.0,411,0,0
gnp_random_graph,100,0.5,7.0,44556,0,0
gnp_random_graph,100,0.8,4.0,657,0,0
gnp_random_graph,10,0.5,4.0,27,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,4.0,52,0,0
gnp_random_graph,20,0.8,2.0,37,0,0
gnp_random_graph,40,0.5,6.0,155,0,0
gnp_random_graph,40,0.8,4.0,155,0,0
gnp_random_graph,80,0.5,6.0,4713,0,0
gnp_random_graph,80,0.8,4.0,534,0,0
gnp_random_graph,100,0.5,6.0,8919,0,0
gnp_random_graph,100,0.8,4.0,681,0,0
gnp_random_graph,10,0.5,4.0,16,0,0
gnp_random_graph,10,0.8,2.0,17,0,0
gnp_random_graph,20,0.5,5.0,55,0,0
gnp_random_graph,20,0.8,2.0,58,0,0
gnp_random_graph,40,0.5,6.0,565,0,0
gnp_random_graph,40,0.8,4.0,142,0,0
gnp_random_graph,80,0.5,6.0,9808,0,0
gnp_random_graph,80,0.8,4.0,458,0,0
gnp_random_graph,100,0.5,6.0,11342,0,0
gnp_random_graph,100,0.8,4.0,753,0,0
gnp_random_graph,10,0.5,2.0,18,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,4.0,41,0,0
gnp_random_graph,20,0.8,2.0,29,0,0
gnp_random_graph,40,0.5,6.0,470,0,0
gnp_random_graph,40,0.8,4.0,151,0,0
gnp_random_graph,80,0.5,6.0,11425,0,0
gnp_random_graph,80,0.8,4.0,501,0,0
gnp_random_graph,100,0.5,7.0,24993,0,0
gnp_random_graph,100,0.8,4.0,861,0,0
gnp_random_graph,10,0.5,4.0,22,0,0
gnp_random_graph,10,0.8,3.0,21,0,0
gnp_random_graph,20,0.5,5.0,37,0,0
gnp_random_graph,20,0.8,3.0,40,0,0
gnp_random_graph,40,0.5,6.0,246,0,0
gnp_random_graph,40,0.8,4.0,155,0,0
gnp_random_graph,80,0.5,7.0,6444,0,0
gnp_random_graph,80,0.8,4.0,453,0,0
gnp_random_graph,100,0.5,7.0,43715,0,0
gnp_random_graph,100,0.8,4.0,748,0,0
gnp_random_graph,10,0.5,3.0,26,0,0
gnp_random_graph,10,0.8,3.0,27,0,0
gnp_random_graph,20,0.5,5.0,37,0,0
gnp_random_graph,20,0.8,3.0,47,0,0
gnp_random_graph,40,0.5,5.0,138,0,0
gnp_random_graph,40,0.8,4.0,155,0,0
gnp_random_graph,80,0.5,6.0,7674,0,0
gnp_random_graph,80,0.8,4.0,213,0,0
gnp_random_graph,100,0.5,7.0,33388,0,0
gnp_random_graph,100,0.8,4.0,770,0,0
gnp_random_graph,10,0.5,4.0,22,0,0
gnp_random_graph,10,0.8,2.0,30,0,0
gnp_random_graph,20,0.5,4.0,45,0,0
gnp_random_graph,20,0.8,2.0,29,0,0
gnp_random_graph,40,0.5,6.0,915,0,0
gnp_random_graph,40,0.8,4.0,145,0,0
gnp_random_graph,80,0.5,6.0,6860,0,0
gnp_random_graph,80,0.8,4.0,468,0,0
gnp_random_graph,100,0.5,6.0,17136,0,0
gnp_random_graph,100,0.8,4.0,738,0,0
gnp_random_graph,10,0.5,5.0,20,0,0
gnp_random_graph,10,0.8,2.0,20,0,0
gnp_random_graph,20,0.5,4.0,39,0,0
gnp_random_graph,20,0.8,4.0,46,0,0
gnp_random_graph,40,0.5,6.0,200,0,0
gnp_random_graph,40,0.8,4.0,170,0,0
gnp_random_graph,80,0.5,6.0,4296,0,0
gnp_random_graph,80,0.8,4.0,490,0,0
gnp_random_graph,100,0.5,7.0,20045,0,0
gnp_random_graph,100,0.8,4.0,789,0,0
gnp_random_graph,10,0.5,4.0,23,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,4.0,44,0,0
gnp_random_graph,20,0.8,4.0,52,0,0
gnp_random_graph,40,0.5,6.0,336,0,0
gnp_random_graph,40,0.8,4.0,149,0,0
gnp_random_graph,80,0.5,7.0,11505,0,0
gnp_random_graph,80,0.8,4.0,455,0,0
gnp_random_graph,100,0.5,7.0,59036,0,0
gnp_random_graph,100,0.8,4.0,654,0,0
gnp_random_graph,10,0.5,4.0,22,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,4.0,33,0,0
gnp_random_graph,20,0.8,3.0,29,0,0
gnp_random_graph,40,0.5,5.0,117,0,0
gnp_random_graph,40,0.8,3.0,151,0,0
gnp_random_graph,80,0.5,6.0,6133,0,0
gnp_random_graph,80,0.8,4.0,452,0,0
gnp_random_graph,100,0.5,8.0,121072,0,0
gnp_random_graph,100,0.8,4.0,735,0,0
gnp_random_graph,10,0.5,4.0,23,0,0
gnp_random_graph,10,0.8,2.0,17,0,0
gnp_random_graph,20,0.5,4.0,41,0,0
gnp_random_graph,20,0.8,3.0,35,0,0
gnp_random_graph,40,0.5,6.0,288,0,0
gnp_random_graph,40,0.8,4.0,131,0,0
gnp_random_graph,80,0.5,6.0,9591,0,0
gnp_random_graph,80,0.8,4.0,472,0,0
gnp_random_graph,100,0.5,7.0,36454,0,0
gnp_random_graph,100,0.8,4.0,769,0,0
gnp_random_graph,10,0.5,4.0,15,0,0
gnp_random_graph,10,0.8,2.0,14,0,0
gnp_random_graph,20,0.5,4.0,36,0,0
gnp_random_graph,20,0.8,4.0,41,0,0
gnp_random_graph,40,0.5,6.0,309,0,0
gnp_random_graph,40,0.8,4.0,114,0,0
gnp_random_graph,80,0.5,6.0,10614,0,0
gnp_random_graph,80,0.8,4.0,517,0,0
gnp_random_graph,100,0.5,6.0,16427,0,0
gnp_random_graph,100,0.8,4.0,815,0,0
gnp_random_graph,10,0.5,4.0,19,0,0
gnp_random_graph,10,0.8,2.0,18,0,0
gnp_random_graph,20,0.5,4.0,47,0,0
gnp_random_graph,20,0.8,3.0,36,0,0
gnp_random_graph,40,0.5,5.0,333,0,0
gnp_random_graph,40,0.8,4.0,144,0,0
gnp_random_graph,80,0.5,6.0,12016,0,0
gnp_random_graph,80,0.8,4.0,337,0,0
gnp_random_graph,100,0.5,7.0,30741,0,0
gnp_random_graph,100,0.8,4.0,748,0,0
gnp_random_graph,10,0.5,3.0,8,0,0
gnp_random_graph,10,0.8,2.0,8,0,0
gnp_random_graph,20,0.5,4.0,35,0,0
gnp_random_graph,20,0.8,4.0,48,0,0
gnp_random_graph,40,0.5,6.0,343,0,0
gnp_random_graph,40,0.8,4.0,124,0,0
gnp_random_graph,80,0.5,6.0,2605,0,0
gnp_random_graph,80,0.8,4.0,489,0,0
gnp_random_graph,100,0.5,7.0,60854,0,0
gnp_random_graph,100,0.8,4.0,693,0,0
gnp_random_graph,10,0.5,4.0,8,0,0
gnp_random_graph,10,0.8,3.0,20,0,0
gnp_random_graph,20,0.5,5.0,45,0,0
gnp_random_graph,20,0.8,4.0,49,0,0
gnp_random_graph,40,0.5,6.0,229,0,0
gnp_random_graph,40,0.8,3.0,118,0,0
gnp_random_graph,80,0.5,6.0,7013,0,0
gnp_random_graph,80,0.8,4.0,534,0,0
gnp_random_graph,100,0.5,7.0,42848,0,0
gnp_random_graph,100,0.8,4.0,625,0,0
gnp_random_graph,10,0.5,4.0,24,0,0
gnp_random_graph,10,0.8,3.0,21,0,0
gnp_random_graph,20,0.5,5.0,45,0,0
gnp_random_graph,20,0.8,3.0,52,0,0
gnp_random_graph,40,0.5,6.0,164,0,0
gnp_random_graph,40,0.8,4.0,136,0,0
gnp_random_graph,80,0.5,6.0,6516,0,0
gnp_random_graph,80,0.8,4.0,489,0,0
gnp_random_graph,100,0.5,6.0,23218,0,0
gnp_random_graph,100,0.8,4.0,852,0,0
gnp_random_graph,10,0.5,4.0,29,0,0
gnp_random_graph,10,0.8,3.0,21,0,0
gnp_random_graph,20,0.5,5.0,45,0,0
gnp_random_graph,20,0.8,2.0,42,0,0
gnp_random_graph,40,0.5,6.0,571,0,0
gnp_random_graph,40,0.8,4.0,151,0,0
gnp_random_graph,80,0.5,6.0,8151,0,0
gnp_random_graph,80,0.8,4.0,545,0,0
gnp_random_graph,100,0.5,6.0,29270,0,0
gnp_random_graph,100,0.8,4.0,754,0,0
gnp_random_graph,10,0.5,4.0,18,0,0
gnp_random_graph,10,0.8,2.0,18,0,0
gnp_random_graph,20,0.5,6.0,41,0,0
gnp_random_graph,20,0.8,3.0,48,0,0
gnp_random_graph,40,0.5,6.0,216,0,0
gnp_random_graph,40,0.8,4.0,142,0,0
