graph_type,size,probabilities,objective_value,time_ms,iterations,branch_and_bound_nodes
gnp_random_graph,100,0.5,7.0,25609,0,0
gnp_random_graph,100,0.8,4.0,780,0,0
gnp_random_graph,10,0.5,4.0,20,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,4.0,30,0,0
gnp_random_graph,20,0.8,2.0,32,0,0
gnp_random_graph,40,0.5,6.0,228,0,0
gnp_random_graph,40,0.8,4.0,143,0,0
gnp_random_graph,80,0.5,6.0,15229,0,0
gnp_random_graph,80,0.8,4.0,458,0,0
gnp_random_graph,100,0.5,6.0,24155,0,0
gnp_random_graph,100,0.8,4.0,806,0,0
gnp_random_graph,10,0.5,4.0,12,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,5.0,39,0,0
gnp_random_graph,20,0.8,2.0,53,0,0
gnp_random_graph,40,0.5,5.0,112,0,0
gnp_random_graph,40,0.8,4.0,151,0,0
gnp_random_graph,80,0.5,6.0,6780,0,0
gnp_random_graph,80,0.8,4.0,391,0,0
gnp_random_graph,100,0.5,7.0,32291,0,0
gnp_random_graph,100,0.8,4.0,748,0,0
gnp_random_graph,10,0.5,3.0,9,0,0
gnp_random_graph,10,0.8,2.0,23,0,0
gnp_random_graph,20,0.5,5.0,33,0,0
gnp_random_graph,20,0.8,2.0,29,0,0
gnp_random_graph,40,0.5,6.0,215,0,0
gnp_random_graph,40,0.8,4.0,123,0,0
gnp_random_graph,80,0.5,6.0,4691,0,0
gnp_random_graph,80,0.8,4.0,434,0,0
gnp_random_graph,100,0.5,6.0,35303,0,0
gnp_random_graph,100,0.8,4.0,773,0,0
gnp_random_graph,10,0.5,4.0,20,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,6.0,54,0,0
gnp_random_graph,20,0.8,2.0,37,0,0
gnp_random_graph,40,0.5,6.0,289,0,0
gnp_random_graph,40,0.8,4.0,148,0,0
gnp_random_graph,80,0.5,6.0,9575,0,0
gnp_random_graph,80,0.8,4.0,421,0,0
gnp_random_graph,100,0.5,7.0,32137,0,0
gnp_random_graph,100,0.8,4.0,591,0,0
gnp_random_graph,10,0.5,3.0,19,0,0
gnp_random_graph,10,0.8,3.0,22,0,0
gnp_random_graph,20,0.5,5.0,49,0,0
gnp_random_graph,20,0.8,2.0,29,0,0
gnp_random_graph,40,0.5,5.0,409,0,0
gnp_random_graph,40,0.8,4.0,148,0,0
gnp_random_graph,80,0.5,6.0,15726,0,0
gnp_random_graph,80,0.8,4.0,426,0,0
gnp_random_graph,100,0.5,6.0,30527,0,0
gnp_random_graph,100,0.8,4.0,732,0,0
gnp_random_graph,10,0.5,4.0,19,0,0
gnp_random_graph,10,0.8,3.0,18,0,0
gnp_random_graph,20,0.5,5.0,34,0,0
gnp_random_graph,20,0.8,3.0,39,0,0
gnp_random_graph,40,0.5,6.0,241,0,0
gnp_random_graph,40,0.8,4.0,158,0,0
gnp_random_graph,80,0.5,7.0,15077,0,0
gnp_random_graph,80,0.8,4.0,465,0,0
gnp_random_graph,100,0.5,6.0,32232,0,0
gnp_random_graph,100,0.8,4.0,858,0,0
gnp_random_graph,10,0.5,4.0,24,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,5.0,50,0,0
gnp_random_graph,20,0.8,4.0,52,0,0
gnp_random_graph,40,0.5,6.0,166,0,0
gnp_random_graph,40,0.8,4.0,126,0,0
gnp_random_graph,80,0.5,6.0,8155,0,0
gnp_random_graph,80,0.8,4.0,391,0,0
gnp_random_graph,100,0.5,7.0,37730,0,0
gnp_random_graph,100,0.8,4.0,821,0,0
gnp_random_graph,10,0.5,3.0,24,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,5.0,45,0,0
gnp_random_graph,20,0.8,2.0,31,0,0
gnp_random_graph,40,0.5,6.0,544,0,0
gnp_random_graph,40,0.8,4.0,147,0,0
gnp_random_graph,80,0.5,6.0,7297,0,0
gnp_random_graph,80,0.8,4.0,483,0,0
gnp_random_graph,100,0.5,7.0,38652,0,0
gnp_random_graph,100,0.8,4.0,725,0,0
gnp_random_graph,10,0.5,4.0,20,0,0
gnp_random_graph,10,0.8,3.0,21,0,0
gnp_random_graph,20,0.5,4.0,47,0,0
gnp_random_graph,20,0.8,2.0,41,0,0
gnp_random_graph,40,0.5,6.0,293,0,0
gnp_random_graph,40,0.8,4.0,149,0,0
gnp_random_graph,80,0.5,6.0,12191,0,0
gnp_random_graph,80,0.8,4.0,407,0,0
gnp_random_graph,100,0.5,7.0,36833,0,0
gnp_random_graph,100,0.8,4.0,692,0,0
gnp_random_graph,10,0.5,4.0,17,0,0
gnp_random_graph,10,0.8,2.0,18,0,0
gnp_random_graph,20,0.5,5.0,40,0,0
gnp_random_graph,20,0.8,3.0,65,0,0
gnp_random_graph,40,0.5,6.0,320,0,0
gnp_random_graph,40,0.8,4.0,147,0,0
gnp_random_graph,80,0.5,7.0,6457,0,0
gnp_random_graph,80,0.8,4.0,311,0,0
gnp_random_graph,100,0.5,7.0,35678,0,0
gnp_random_graph,100,0.8,4.0,911,0,0
gnp_random_graph,10,0.5,4.0,18,0,0
gnp_random_graph,10,0.8,2.0,24,0,0
gnp_random_graph,20,0.5,4.0,38,0,0
gnp_random_graph,20,0.8,3.0,47,0,0
gnp_random_graph,40,0.5,6.0,260,0,0
gnp_random_graph,40,0.8,4.0,119,0,0
gnp_random_graph,80,0.5,6.0,4191,0,0
gnp_random_graph,80,0.8,4.0,451,0,0
gnp_random_graph,100,0.5,6.0,20599,0,0
gnp_random_graph,100,0.8,4.0,746,0,0
